id,bureauvote
DBV004954, EPP MANJAKARAY S6
DBV004955, EPP MANJAKARAY S6
DBV004956, EPP MANJAKARAY S6
DBV004957, EPP AMBODITSIRY S17
DBV004959, EPP AMBODITSIRY S18
DBV004960, EPP AMBODITSIRY S7
DBV004961, EPP AMBODITSIRY S9
DBV004963, EPP ANALAMAHITSY TANANA S9
DBV004965, ECOLE PRIVEE  ZANADOMOHINA S1
DBV004966, EPP ANALAMAHITSY TANANA S3
DBV004967, EPP ANALAMAHITSY TANANA S2
DBV004968, EPP ANALAMAHITSY TANANA S9
DBV004970, EPP AMBODITSIRY S12
DBV004972, EPP AMBODITSIRY S12
DBV004973, EPP MANJAKARAY S31
DBV004975, EPP AMBODITSIRY S15
DBV004976, EPP AMBODITSIRY S6
DBV004980, EPP AMBODITSIRY S16
DBV004981, EPP AMBODITSIRY S20
DBV004982, EPP AMBODITSIRY S20
DBV004983, EPP AMBODITSIRY S16
DBV004984, EPP ANALAMAHITSY TANANA S9
DBV004985, ECOLE PRIVEE  ZANADOMOHINA S3
DBV004986, EPP ANALAMAHITSY TANANA S9
DBV004987, EPP ANALAMAHITSY TANANA S2
DBV004988, ECOLE PRIVEE  ZANADOMOHINA S2
DBV004989, BUR FKT ANJANAHARY II A S1
DBV004990, BUR FKT ANJANAHARY II O S2
DBV004992, BUR FKT ANJANAHARY IIN S1
DBV004993, BUR FKT ANJANAHARY IIN S1
DBV004994, EPP AMBOHIDROA I SALLE4
DBV004995, BUR FKT ANJANAHARY IIN S1
DBV004996, BUR FKT ANJANAHARY IIN S2
DBV004998, BUR FKT ANJANAHARY IIN S1
DBV004999, BUR FKT ANJANAHARY IIN S1
DBV005001, EPP ANJANAHARY II N S4
DBV005002, EPP MANJAKARAY S3
DBV005009, EPP MANJAKARAY S17
DBV005010, EPP AMBATOKARANANA S2
DBV005011, EPP AMBATOKARANANA S6
DBV005012, EPP AMBATOKARANANA S3
DBV005013, EPP ANTANIMENA II SALLE4
DBV005014, EPP ANTANIMENA II SALLE4
DBV005015, EPP ANTANIMENA II SALLE1
DBV005016, EPP ANTANIMENA II SALLE4
DBV005017, EPP ANTANIMENA II SALLE4
DBV005019, EPP ANTANIMENA II SALLE6
DBV005021, EPP AMBOHIMIADANA ATSIMO SALLE1
DBV005022, EPP AMBOHIMIADANA ATSIMO SALLE1
DBV005023, EPP AMBOHIMIADANA ATSIMO SALLE2
DBV005024, EPP AMBATOLAMPY SALLE 3
DBV005025, EPP AMBATOLAMPY SALLE 2
DBV005026, EPP AMBATOLAMPY SALLE 6
DBV005027, EPP AMBATOLAMPY SALLE 1
DBV005028, EPP AMBATOLAMPY SALLE 5
DBV005030, EPP AMBATOLAMPY SALLE 1
DBV005031, EPP AMBATOLAMPY SALLE 4
DBV005032, EPP AMBATOLAMPY SALLE 4
DBV005033, EPP AMBATOLAMPY SALLE 4
DBV005034, EPP BETAFO SALLE1
DBV005035, EPP ANOSIVAVAKA SALLE4
DBV005037, EPP ANOSIVAVAKA SALLE2
DBV005041, BUREAU FOKONTANY SALLE1
DBV005042, BUREAU FOKONTANY SALLE2
DBV005043, BUREAU FOKONTANY SALLE2
DBV005044, EPP ANTANJOMBE AMBONY SALLE3
DBV005045, EPP ANTANJOMBE AMBONY SALLE3
DBV005046, EPP ANTANJOMBE AMBONY SALLE3
